ime,id,leto,minplay,maxplay,mintime,maxtime,minage,ocena,glasovi,kategorije,mechanic
Race for the Galaxy,28143,2007,2,4,30,60,12,7.76225,41900,"['Card Game', 'Civilization', 'Economic', 'Science Fiction', 'Space Exploration']","['Hand Management', 'Simultaneous Action Selection', 'Variable Phase Order', 'Variable Player Powers']"

Lords of Waterdeep,110327,2012,2,5,60,120,12,7.76312,40349,"['City Building', 'Fantasy']","['Card Drafting', 'Contracts', 'Increase Value of Unchosen Resources', 'Ownership', 'Set Collection', 'Take That']"

Stone Age,34635,2008,2,4,60,90,10,7.59176,39779,"['Dice', 'Prehistoric']","['Dice Rolling', 'Set Collection', 'Turn Order: Progressive', 'Worker Placement']"

The Castles of Burgundy,84876,2011,2,4,30,90,12,8.12672,39015,"['Dice', 'Medieval', 'Territory Building']","['Dice Rolling', 'Set Collection', 'Tile Placement', 'Turn Order: Stat-Based']"

Munchkin,1927,2001,3,6,60,120,10,5.91498,37270,"['Card Game', 'Fantasy', 'Fighting', 'Humor']","['Card Drafting', 'Dice Rolling', 'Hand Management', 'Take That', 'Variable Player Powers']"

Forbidden Island,65244,2010,2,4,30,30,10,6.81159,36822,"['Adventure', 'Fantasy']","['Action Points', 'Cooperative Game', 'Grid Movement', 'Hand Management', 'Modular Board', 'Pick-up and Deliver']"

Patchwork,163412,2014,2,2,15,30,8,7.69504,36438,"['Abstract Strategy', 'Puzzle']","['Card Drafting', 'Grid Coverage', 'Square Grid', 'Tile Placement', 'Time Track']"

Twilight Struggle,12333,2005,2,2,120,180,13,8.31891,35934,"['Modern Warfare', 'Political', 'Wargame']","['Action\\/Event', 'Advantage Token', 'Area Majority \\/ Influence', 'Campaign \\/ Battle Card Driven', 'Dice Rolling', 'Hand Management']"

Arkham Horror,15987,2005,1,8,120,240,14,7.28273,34954,"['Adventure', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Role Playing', 'Semi-Cooperative Game']"

Bohnanza,11,1997,2,7,45,45,13,7.04043,34867,"['Card Game', 'Farming', 'Negotiation']","['Hand Management', 'Set Collection', 'Trading']"

Azul,230802,2017,2,4,30,45,8,7.88663,34576,"['Abstract Strategy', 'Renaissance']","['Card Drafting', 'Pattern Building', 'Set Collection', 'Tile Placement']"

Dead of Winter: A Crossroads Game,150376,2014,2,5,60,120,13,7.64559,34550,"['Bluffing', 'Deduction', 'Horror', 'Zombies']","['Action Points', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Push Your Luck']"

Terra Mystica,120677,2012,2,5,60,150,12,8.17762,34148,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']","['End Game Bonuses', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Turn Order: Pass Order', 'Variable Player Powers']"

Hanabi,98778,2010,2,5,25,25,8,7.12302,33633,"['Card Game', 'Deduction', 'Memory']","['Communication Limits', 'Cooperative Game', 'Hand Management', 'Memory', 'Set Collection']"

Pandemic Legacy: Season 1,161936,2015,2,4,60,60,13,8.62842,33448,"['Environmental', 'Medical']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection']"

Lost Cities,50,1999,2,2,30,30,10,7.16082,33057,"['Card Game', 'Exploration']","['Hand Management', 'Set Collection']"

The Resistance,41114,2009,5,10,30,30,13,7.31799,32797,"['Bluffing', 'Card Game', 'Deduction', 'Negotiation', 'Party Game', 'Science Fiction']","['Hidden Roles', 'Memory', 'Simultaneous Action Selection', 'Team-Based Game', 'Traitor Game', 'Voting']"

Betrayal at House on the Hill,10547,2004,3,6,60,60,12,7.07131,31998,"['Adventure', 'Exploration', 'Horror', 'Miniatures']","['Dice Rolling', 'Modular Board', 'Player Elimination', 'Role Playing', 'Storytelling', 'Team-Based Game']"

Coup,131357,2012,2,6,15,15,13,7.0285,30790,"['Bluffing', 'Card Game', 'Deduction', 'Party Game', 'Political']","['Memory', 'Player Elimination', 'Take That', 'Variable Player Powers']"

Battlestar Galactica: The Board Game,37111,2008,3,6,120,180,14,7.73978,30652,"['Bluffing', 'Deduction', 'Movies \\/ TV \\/ Radio theme', 'Political', 'Science Fiction', 'Space Exploration']","['Area Movement', 'Dice Rolling', 'Hand Management', 'Hidden Roles', 'Once-Per-Game Abilities', 'Role Playing']"

Star Realms,147020,2014,2,2,20,20,12,7.60432,30329,"['Card Game', 'Fighting', 'Science Fiction']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Take That']"

Jaipur,54043,2009,2,2,30,30,12,7.51486,30023,"['Animals', 'Card Game']","['Card Drafting', 'Hand Management', 'Set Collection']"

Takenoko,70919,2011,2,4,45,45,8,7.29614,29522,"['Animals', 'Environmental', 'Farming', 'Territory Building']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Network and Route Building', 'Pattern Building']"

Gloomhaven,174430,2017,1,4,60,120,12,8.86799,28997,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Campaign \\/ Battle Card Driven', 'Cooperative Game', 'Grid Movement', 'Hand Management', 'Modular Board', 'Role Playing']"

Magic: The Gathering,463,1993,2,2,20,20,13,7.48699,28947,"['Card Game', 'Collectible Components', 'Fantasy', 'Fighting']","['Hand Management', 'Take That']"

Robinson Crusoe: Adventures on the Cursed Island,121921,2012,1,4,60,120,14,7.88877,28577,"['Adventure', 'Exploration', 'Fighting', 'Novel-based']","['Action Queue', 'Cooperative Game', 'Dice Rolling', 'Hexagon Grid', 'Solo \\/ Solitaire Game', 'Tile Placement']"

Sushi Go!,133473,2013,2,5,15,15,8,7.06726,28348,['Card Game'],"['Card Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection']"

Dominion: Intrigue,40834,2009,2,4,30,30,13,7.73607,27835,"['Card Game', 'Medieval']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']"

Blood Rage,170216,2015,2,4,60,90,14,8.01338,27646,"['Fantasy', 'Fighting', 'Miniatures', 'Mythology']","['Action Points', 'Area Majority \\/ Influence', 'Area Movement', 'Card Drafting', 'Hand Management', 'Memory']"

Five Tribes,157354,2014,2,4,40,80,13,7.77221,27257,"['Animals', 'Arabian', 'Fantasy', 'Mythology']","['Area Majority \\/ Influence', 'Auction\\/Bidding', 'Card Drafting', 'Deck, Bag, and Pool Building', 'Drafting', 'Mancala']"

Risk,181,1959,2,6,120,120,10,5.5814,27046,"['Territory Building', 'Wargame']","['Area Majority \\/ Influence', 'Area Movement', 'Dice Rolling', 'Player Elimination', 'Set Collection']"

Galaxy Trucker,31481,2007,2,4,60,60,10,7.42728,26560,"['Real-time', 'Science Fiction', 'Space Exploration', 'Transportation']","['Dice Rolling', 'Real-Time', 'Team-Based Game', 'Tile Placement']"

Alhambra,6249,2003,2,6,45,60,8,7.02518,26014,"['Arabian', 'City Building', 'Medieval']","['Card Drafting', 'Hand Management', 'Set Collection', 'Tile Placement']"

Hive,2655,2001,2,2,20,20,9,7.32338,26007,"['Abstract Strategy', 'Animals']","['Grid Movement', 'Hexagon Grid', 'Tile Placement']"

Tzolk&#039;in: The Mayan Calendar,126163,2012,2,4,90,90,13,7.91975,25951,"['Ancient', 'Civilization', 'Economic', 'Farming', 'Mythology']","['Turn Order: Claim Action', 'Worker Placement']"

Mysterium,181304,2015,2,7,42,42,10,7.37711,25604,"['Deduction', 'Horror', 'Murder\\/Mystery', 'Party Game']","['Communication Limits', 'Cooperative Game', 'Hand Management', 'Pattern Recognition']"

A Game of Thrones: The Board Game (Second Edition),103343,2011,3,6,120,240,14,7.64789,25353,"['Bluffing', 'Fantasy', 'Negotiation', 'Novel-based', 'Political', 'Wargame']","['Area Majority \\/ Influence', 'Area Movement', 'Auction\\/Bidding', 'Hand Management', 'Order Counters', 'Player Elimination']"

Sheriff of Nottingham,157969,2014,3,5,60,60,14,7.19184,25307,"['Bluffing', 'Card Game', 'Humor', 'Medieval', 'Negotiation', 'Novel-based']","['Bribery', 'Card Drafting', 'Hand Management', 'Role Playing', 'Set Collection']"

Caylus,18602,2005,2,5,60,150,12,7.80365,25153,"['City Building', 'Economic', 'Medieval']","['Ownership', 'Turn Order: Claim Action', 'Turn Order: Pass Order', 'Variable Setup', 'Worker Placement']"

Chess,171,1475,2,2,60,60,6,7.10209,25148,['Abstract Strategy'],"['Grid Movement', 'Pattern Movement', 'Square Grid', 'Static Capture']"

Eldritch Horror,146021,2013,1,8,120,240,14,7.84291,25074,"['Adventure', 'Fantasy', 'Fighting', 'Horror', 'Novel-based', 'Travel']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Point to Point Movement', 'Role Playing', 'Solo \\/ Solitaire Game']"

Android: Netrunner,124742,2012,2,2,45,45,14,7.88665,24950,"['Bluffing', 'Card Game', 'Collectible Components', 'Science Fiction']","['Action Points', 'Hand Management', 'Secret Unit Deployment', 'Take That', 'Variable Player Powers']"

Cosmic Encounter,39463,2008,3,5,60,120,12,7.54645,24850,"['Bluffing', 'Negotiation', 'Science Fiction', 'Space Exploration']","['Alliances', 'Auction\\/Bidding', 'Hand Management', 'Negotiation', 'Race', 'Simultaneous Action Selection']"

Caverna: The Cave Farmers,102794,2013,1,7,30,210,12,8.05179,24849,"['Animals', 'Economic', 'Fantasy', 'Farming']","['Automatic Resource Growth', 'Increase Value of Unchosen Resources', 'Tile Placement', 'Worker Placement']"

Mage Knight Board Game,96848,2011,1,4,60,240,14,8.10061,24605,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Card Drafting', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management']"

Eclipse,72125,2011,2,6,60,180,14,7.92921,24574,"['Civilization', 'Fighting', 'Science Fiction', 'Space Exploration', 'Wargame']","['Area Majority \\/ Influence', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Player Elimination', 'Tile Placement']"

Monopoly,1406,1933,2,8,60,180,8,4.36741,24502,"['Economic', 'Negotiation']","['Auction\\/Bidding', 'Income', 'Player Elimination', 'Roll \\/ Spin and Move', 'Set Collection', 'Trading']"

BANG!,3955,2002,4,7,20,40,10,6.52129,24033,"['American West', 'Bluffing', 'Card Game', 'Deduction', 'Fighting']","['Hand Management', 'Hidden Roles', 'Player Elimination', 'Take That', 'Team-Based Game', 'Variable Player Powers']"

Shadows over Camelot,15062,2005,3,7,60,80,10,7.1275,24012,"['Adventure', 'Bluffing', 'Deduction', 'Fantasy', 'Medieval', 'Mythology']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Player Elimination', 'Set Collection', 'Team-Based Game']"

Le Havre,35677,2008,1,5,30,150,12,7.88534,23884,"['City Building', 'Economic', 'Industry \\/ Manufacturing', 'Nautical']","['Automatic Resource Growth', 'End Game Bonuses', 'Increase Value of Unchosen Resources', 'Loans', 'Ownership', 'Worker Placement']"

Scrabble,320,1948,2,4,90,90,10,6.28212,23762,['Word Game'],"['Hand Management', 'Square Grid', 'Tile Placement']"

The Resistance: Avalon,128882,2012,5,10,30,30,13,7.60964,23745,"['Bluffing', 'Card Game', 'Deduction', 'Fantasy', 'Medieval', 'Negotiation']","['Hidden Roles', 'Memory', 'Simultaneous Action Selection', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']"

Tigris &amp; Euphrates,42,1997,2,4,90,90,12,7.70368,23672,"['Ancient', 'Civilization', 'Territory Building']","['Area Majority \\/ Influence', 'Hand Management', 'Highest-Lowest Scoring', 'Set Collection', 'Tile Placement']"

Memoir &#039;44,10630,2004,2,8,30,60,8,7.55564,23402,"['Miniatures', 'Wargame', 'World War II']","['Area Majority \\/ Influence', 'Campaign \\/ Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Grid Movement', 'Hand Management']"

Kingdomino,204583,2016,2,4,15,20,8,7.36817,22775,"['City Building', 'Fantasy', 'Medieval', 'Territory Building']","['Card Drafting', 'Pattern Building', 'Tile Placement']"

Roll for the Galaxy,132531,2014,2,5,45,45,13,7.71086,22555,"['Civilization', 'Dice', 'Economic', 'Science Fiction', 'Space Exploration']","['Deck, Bag, and Pool Building', 'Dice Rolling', 'Simultaneous Action Selection', 'Variable Phase Order', 'Variable Player Powers']"

Machi Koro,143884,2012,2,4,30,30,10,6.64728,22390,"['Card Game', 'City Building', 'Dice']","['Card Drafting', 'Dice Rolling']"

Saboteur,9220,2004,3,10,30,30,8,6.59568,22176,"['Bluffing', 'Card Game', 'Exploration', 'Fantasy', 'Party Game']","['Hand Management', 'Network and Route Building', 'Take That', 'Team-Based Game', 'Traitor Game']"

Forbidden Desert,136063,2013,2,5,45,45,10,7.18566,22071,"['Adventure', 'Fantasy', 'Science Fiction']","['Action Points', 'Cooperative Game', 'Grid Movement', 'Hand Management', 'Modular Board', 'Pick-up and Deliver']"

Great Western Trail,193738,2016,2,4,75,150,12,8.28956,21921,"['American West', 'Animals']","['Deck, Bag, and Pool Building', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Variable Setup']"

Concordia,124361,2013,2,5,100,100,13,8.10505,21898,"['Ancient', 'Economic', 'Nautical']","['Action Retrieval', 'Advantage Token', 'Drafting', 'Point to Point Movement']"

El Grande,93,1995,2,5,60,120,12,7.76883,21858,"['Medieval', 'Renaissance']","['Area Majority \\/ Influence', 'Area Movement', 'Auction\\/Bidding', 'Card Drafting', 'Hand Management', 'Memory']"

RoboRally,18,1994,2,8,45,120,12,7.09619,21534,"['Maze', 'Miniatures', 'Racing', 'Science Fiction']","['Action Queue', 'Grid Movement', 'Modular Board', 'Race', 'Simultaneous Action Selection']"

Istanbul,148949,2014,2,5,40,60,10,7.59759,21459,['Economic'],"['Dice Rolling', 'Grid Movement', 'Modular Board', 'Pick-up and Deliver']"

Star Wars: X-Wing Miniatures Game,103885,2012,2,2,30,45,14,7.73592,21385,"['Aviation \\/ Flight', 'Bluffing', 'Collectible Components', 'Miniatures', 'Movies \\/ TV \\/ Radio theme', 'Science Fiction']","['Action Queue', 'Critical Hits and Failures', 'Dice Rolling', 'Movement Template', 'Player Elimination', 'Simultaneous Action Selection']"

Smash Up,122522,2012,2,4,45,45,12,6.78919,21258,"['Card Game', 'Fantasy', 'Humor', 'Pirates', 'Science Fiction', 'Zombies']","['Area Majority \\/ Influence', 'Hand Management', 'Take That', 'Variable Player Powers']"

San Juan,8217,2004,2,4,45,60,10,7.27013,21120,"['Card Game', 'City Building', 'Economic']","['Hand Management', 'Set Collection', 'Variable Phase Order']"

Tsuro,16992,2004,2,8,15,15,8,6.67479,20771,"['Abstract Strategy', 'Fantasy']","['Hand Management', 'Network and Route Building', 'Player Elimination', 'Tile Placement']"

For Sale,172,1997,3,6,30,30,10,7.21995,20638,"['Card Game', 'Economic']","['Auction\\/Bidding', 'Auction: Sealed Bid', 'Hand Management']"

Blokus,2453,2000,2,4,20,20,5,6.90077,20583,"['Abstract Strategy', 'Territory Building']","['Enclosure', 'Grid Coverage', 'Hand Management', 'Tile Placement']"

T.I.M.E Stories,146508,2015,2,4,90,90,12,7.7018,20332,"['Adventure', 'Mature \\/ Adult', 'Puzzle', 'Science Fiction']","['Cooperative Game', 'Dice Rolling', 'Storytelling', 'Variable Player Powers']"

Cards Against Humanity,50381,2009,4,30,30,30,17,5.99956,20285,"['Card Game', 'Humor', 'Mature \\/ Adult', 'Party Game', 'Print & Play']","['Hand Management', 'Player Judge', 'Simultaneous Action Selection']"

Colt Express,158899,2014,2,6,30,40,10,7.15715,20270,"['American West', 'Fighting', 'Trains']","['Action Queue', 'Hand Management', 'Memory', 'Modular Board', 'Programmed Movement', 'Simultaneous Action Selection']"

Descent: Journeys in the Dark (Second Edition),104162,2012,2,5,120,120,14,7.71884,20253,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board', 'Team-Based Game']"

Viticulture Essential Edition,183394,2015,1,6,45,90,13,8.12283,20241,"['Economic', 'Farming']","['Contracts', 'Hand Management', 'Turn Order: Auction', 'Worker Placement', 'Worker Placement, Different Worker Types']"

Elder Sign,100423,2011,1,8,90,90,13,6.99702,20152,"['Adventure', 'Card Game', 'Dice', 'Fantasy', 'Fighting', 'Horror']","['Cooperative Game', 'Dice Rolling', 'Modular Board', 'Solo \\/ Solitaire Game', 'Variable Player Powers']"

Santorini,194655,2016,2,4,20,20,8,7.59253,20047,"['Abstract Strategy', 'Ancient', 'Mythology']","['Grid Movement', 'Square Grid', 'Three Dimensional Movement', 'Tile Placement', 'Variable Player Powers']"

Clank!: A Deck-Building Adventure,201808,2016,2,4,30,60,12,7.80969,19911,"['Adventure', 'Fantasy']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Drafting', 'Pick-up and Deliver', 'Player Elimination', 'Point to Point Movement']"

Arkham Horror: The Card Game,205637,2016,1,2,60,120,14,8.20358,19885,"['Adventure', 'Card Game', 'Collectible Components', 'Fantasy', 'Horror', 'Novel-based']","['Action Points', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Role Playing', 'Solo \\/ Solitaire Game']"

Camel Up,153938,2014,2,8,20,30,8,7.06138,19861,"['Animals', 'Dice', 'Racing']","['Betting and Bluffing', 'Dice Rolling', 'Roll \\/ Spin and Move']"

Castles of Mad King Ludwig,155426,2014,1,4,90,90,13,7.6052,19770,"['Post-Napoleonic', 'Puzzle']","['Auction\\/Bidding', 'Card Drafting', 'Pattern Building', 'Set Collection', 'Tile Placement']"

Suburbia,123260,2012,1,4,90,90,8,7.55243,19629,"['City Building', 'Economic']","['Card Drafting', 'Set Collection', 'Tile Placement']"

The Lord of the Rings: The Card Game,77423,2011,1,2,30,60,13,7.63489,18794,"['Adventure', 'Card Game', 'Fantasy', 'Novel-based']","['Cooperative Game', 'Hand Management', 'Solo \\/ Solitaire Game', 'Variable Player Powers']"

Flash Point: Fire Rescue,100901,2011,2,6,45,45,10,7.22595,18788,['Adventure'],"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Pick-up and Deliver', 'Simulation']"

Mansions of Madness: Second Edition,205059,2016,1,5,120,180,14,8.13128,18657,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Role Playing']"

Imperial Settlers,154203,2014,1,4,45,90,10,7.46141,18470,"['Ancient', 'Card Game', 'City Building', 'Civilization']","['Card Drafting', 'Contracts', 'Drafting', 'Hand Management', 'Take That', 'Variable Player Powers']"

Carcassonne: Expansion 1 – Inns &amp; Cathedrals,2993,2002,2,6,60,60,8,7.61527,18357,"['City Building', 'Expansion for Base-game', 'Medieval', 'Territory Building']","['Area Majority \\/ Influence', 'Tile Placement']"

Seasons,108745,2012,2,4,60,60,14,7.43534,18275,"['Card Game', 'Dice', 'Fantasy']","['Card Drafting', 'Dice Rolling', 'Hand Management', 'Take That']"

No Thanks!,12942,2004,3,7,20,20,8,7.04964,18203,['Card Game'],"['Auction\\/Bidding', 'Increase Value of Unchosen Resources', 'Push Your Luck', 'Set Collection']"

Guillotine,116,1998,2,5,30,30,12,6.53461,18184,"['Card Game', 'Humor', 'Napoleonic']","['Card Drafting', 'Hand Management', 'Take That']"

Star Wars: Rebellion,187645,2016,2,4,180,240,14,8.43019,18160,"['Fighting', 'Miniatures', 'Movies \\/ TV \\/ Radio theme', 'Science Fiction', 'Wargame']","['Area Majority \\/ Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Team-Based Game', 'Variable Player Powers']"

Village,104006,2011,2,4,60,90,12,7.53724,18122,"['Farming', 'Medieval']","['Action Drafting', 'Contracts', 'Set Collection', 'Worker Placement', 'Worker Placement, Different Worker Types']"

One Night Ultimate Werewolf,147949,2014,3,10,10,10,8,7.18992,18010,"['Bluffing', 'Card Game', 'Deduction', 'Horror', 'Party Game']","['Role Playing', 'Traitor Game', 'Variable Player Powers', 'Voting']"

Survive: Escape from Atlantis!,2653,1982,2,4,45,60,8,7.30581,18000,"['Adventure', 'Animals', 'Bluffing', 'Nautical']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Memory', 'Modular Board', 'Secret Unit Deployment']"

"Hey, That&#039;s My Fish!",8203,2003,2,4,20,20,8,6.72485,17988,"['Abstract Strategy', 'Animals']","['Grid Movement', 'Map Deformation', 'Map Reduction', 'Modular Board']"

Ghost Stories,37046,2008,1,4,60,60,12,7.34661,17925,"['Fantasy', 'Fighting', 'Horror', 'Mythology']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Solo \\/ Solitaire Game', 'Variable Player Powers']"

Ra,12,1999,2,5,45,60,12,7.46877,17880,"['Ancient', 'Mythology']","['Auction\\/Bidding', 'Auction: Once Around', 'Constrained Bidding', 'Push Your Luck', 'Set Collection']"

UNO,2223,1971,2,10,30,30,6,5.36289,17725,"['Card Game', 'Comic Book \\/ Strip', 'Movies \\/ TV \\/ Radio theme', 'Number']","['Hand Management', 'Lose a Turn', 'Take That']"

Legendary: A Marvel Deck Building Game,129437,2012,1,5,45,45,14,7.59679,17709,"['Card Game', 'Comic Book \\/ Strip']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Solo \\/ Solitaire Game']"

Star Wars: Imperial Assault,164153,2014,2,5,60,120,14,8.05484,17611,"['Adventure', 'Fighting', 'Miniatures', 'Movies \\/ TV \\/ Radio theme', 'Science Fiction', 'Wargame']","['Dice Rolling', 'Grid Movement', 'Modular Board', 'Role Playing', 'Team-Based Game', 'Variable Player Powers']"

Sagrada,199561,2017,1,4,30,45,14,7.55551,17622,"['Dice', 'Puzzle']","['Card Drafting', 'Dice Rolling', 'Pattern Building', 'Set Collection']"

Twilight Imperium (Third Edition),12493,2005,3,6,180,240,14,7.85977,17537,"['Civilization', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Action Points', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Hexagon Grid', 'Increase Value of Unchosen Resources']"

Kingsburg,27162,2007,2,5,90,90,13,7.20879,17514,"['City Building', 'Dice', 'Fantasy', 'Medieval']","['Dice Rolling', 'Worker Placement with Dice Workers']"

Through the Ages: A New Story of Civilization,182028,2015,2,4,120,120,14,8.50909,17426,"['Card Game', 'Civilization', 'Economic']","['Action Points', 'Auction\\/Bidding', 'Auction: Dutch', 'Card Drafting']"

Orléans,164928,2014,2,4,90,90,12,8.08116,17374,"['Medieval', 'Religious', 'Travel']","['Deck, Bag, and Pool Building', 'Point to Point Movement', 'Turn Order: Progressive', 'Worker Placement']"

Kingdom Builder,107529,2011,2,4,45,45,8,6.97684,17301,"['Medieval', 'Territory Building']","['Area Majority \\/ Influence', 'Enclosure', 'Hexagon Grid', 'Modular Board', 'Network and Route Building']"

Acquire,5,1964,2,6,90,90,12,7.34733,17287,['Economic'],"['Hand Management', 'Investment', 'Market', 'Ownership', 'Stock Holding', 'Tile Placement']"

Through the Ages: A Story of Civilization,25613,2006,2,4,120,120,12,7.98099,17152,"['Civilization', 'Economic']","['Action Points', 'Auction\\/Bidding', 'Auction: Dutch', 'Card Drafting', 'Hand Management']"

Tokaido,123540,2012,2,5,45,45,8,7.03165,17136,['Travel'],"['Point to Point Movement', 'Set Collection', 'Time Track', 'Variable Player Powers']"

Thurn and Taxis,21790,2006,2,4,60,60,13,7.10744,16976,"['Renaissance', 'Transportation']","['Card Drafting', 'Hand Management', 'Network and Route Building', 'Set Collection']"
